district,chiefdom,section,type_of_water_point
Port Loko,Kaffu Bullom,Foronkoya,6:Public tap/standpipe (stand-alone or water kiosk
NA,NA,NA,NA
Kenema,Kenema City,Gbo Kakajama A-Shimbeck,9:Unprotected dug well
Kenema,Lower Bambara,Nyawa,2:Protected dug well
South,Bonthe,Jong,6:Public tap/standpipe (stand-alone or water kiosk
Kailahun,Kpeje Bongre,Jorwu,2:Protected dug well
South,Pujehun,Pejeh(Futa peje,2:Protected dug well
Western Urban,East III,Industrial Estate,2:Protected dug well
Tonkolili,Gbonkolenken,Petifu Mayawa A,2:Protected dug well
East,Kailahun,Mandu,3:Tube well or borehole
North,Port Loko,Buya Romende,2:Protected dug well
Western Rural,Waterloo Rural,Waterloo Lumpa,2:Protected dug well
Port Loko,Koya,Mahera,2:Protected dug well
Kambia,Samu,Mapotolon,2:Protected dug well
Kenema,Kenema City,Gbo Kakajama A-Lumbebu,2:Protected dug well
Port Loko,Kaffu Bullom,Mayaya,7:Piped water into dwelling/plot/yard
NA,NA,NA,NA
Port Loko,Maforki,Malal,2:Protected dug well
North,Koinadugu,Neya,2:Protected dug well
Western Urban,East III,Allen Town II,7:Piped water into dwelling/plot/yard
Tonkolili,Kafe Simiria,Mabonto,2:Protected dug well
Kenema,Gaura,Joru,6:Public tap/standpipe (stand-alone or water kiosk
East,Kailahun,Luawa,2:Protected dug well
East,Kono,Sandor,2:Protected dug well
Kenema,Small Bo,Sowa,2:Protected dug well
Western Urban,East III,Kissy Mess Mess,6:Public tap/standpipe (stand-alone or water kiosk
Western Urban,West III,Aberdeen,7:Piped water into dwelling/plot/yard
Tonkolili,Gbonkolenken,Mayeppoh,2:Protected dug well
Bo,Lugbu,Gao,2:Protected dug well
NA,NA,NA,NA
South,Moyamba,Bumpeh,2:Protected dug well
West,Western Urban,East III,7:Piped water into dwelling/plot/yard
NA,NA,NA,NA
North,Port Loko,Kaffu Bullom,2:Protected dug well
North,Port Loko,Marampa,2:Protected dug well
Kenema,Niawa,Kakplao,2:Protected dug well
Moyamba,Bagruwa,Palima,2:Protected dug well
Bo,Bo Town,East Ward-Messima II,9:Unprotected dug well
Bo,Bo Town,East Ward-Manjama - Shellmingo,9:Unprotected dug well
South,Pujehun,Soro Gbema,2:Protected dug well
Bonthe,Jong,Bayengbe,2:Protected dug well
NA,NA,NA,NA
Port Loko,Marampa,Marampa A,6:Public tap/standpipe (stand-alone or water kiosk
Western Urban,East III,Bottom Oku,4:Rainwater (harvesting)
NA,NA,NA,NA
Kenema,Gaura,Mendekelema,6:Public tap/standpipe (stand-alone or water kiosk
Kenema,Gaura,Mendekelema,6:Public tap/standpipe (stand-alone or water kiosk
Bo,Bagbo,Tissana,9:Unprotected dug well
NA,NA,NA,NA
North,Port Loko,Lokomasama,2:Protected dug well
South,Pujehun,Sowa,3:Tube well or borehole
Koinadugu,Kasunko,Madingo II,6:Public tap/standpipe (stand-alone or water kiosk
NA,NA,NA,NA
Bo,Kakua,Samamie,9:Unprotected dug well
Koinadugu,Wara Wara Bafodia,Kakoya,2:Protected dug well
NA,NA,NA,NA
North,Bombali,Makari Gbanti,2:Protected dug well
